MN_CRE106,MN_CRE111,MN_CRE112,MN_CRE11,MN_CRE124,MN_CRE127,MN_CRE128,MN_CRE129,MN_CRE12,MN_CRE131,MN_CRE132,MN_CRE133,MN_CRE134,MN_CRE137,MN_CRE138,MN_CRE142,MN_CRE143,MN_CRE144,MN_CRE145,MN_CRE146,MN_CRE147,MN_CRE150,MN_CRE151,MN_CRE153,MN_CRE156,MN_CRE157,MN_CRE158,MN_CRE159,MN_CRE15,MN_CRE161,MN_CRE162,MN_CRE163,MN_CRE169,MN_CRE174,MN_CRE178,MN_CRE179,MN_CRE184,MN_CRE188,MN_CRE189,MN_CRE18,MN_CRE190,MN_CRE196,MN_CRE197,MN_CRE198,MN_CRE19,MN_CRE203,MN_CRE204,MN_CRE205,MN_CRE207,MN_CRE209,MN_CRE20,MN_CRE210,MN_CRE214,MN_CRE215,MN_CRE216,MN_CRE219,MN_CRE220,MN_CRE221,MN_CRE222,MN_CRE223,MN_CRE225,MN_CRE226,MN_CRE227,MN_CRE229,MN_CRE22,MN_CRE230,MN_CRE232,MN_CRE235,MN_CRE236,MN_CRE237,MN_CRE238,MN_CRE23,MN_CRE240,MN_CRE241,MN_CRE243,MN_CRE248,MN_CRE249,MN_CRE250,MN_CRE30,MN_CRE31,MN_CRE36,MN_CRE39,MN_CRE3,MN_CRE40,MN_CRE41,MN_CRE42,MN_CRE47,MN_CRE4,MN_CRE50,MN_CRE60,MN_CRE63,MN_CRE67,MN_CRE6,MN_CRE73,MN_CRE76,MN_CRE77,MN_CRE78,MN_CRE81,MN_CRE82,MN_CRE83,MN_CRE94,MN_CRE97,TN_CRE104,TN_CRE106,TN_CRE10,TN_CRE110,TN_CRE111,TN_CRE112,TN_CRE113,TN_CRE114,TN_CRE117,TN_CRE121,TN_CRE125,TN_CRE126,TN_CRE12,TN_CRE131,TN_CRE134,TN_CRE136,TN_CRE142,TN_CRE144,TN_CRE145,TN_CRE148,TN_CRE150,TN_CRE153,TN_CRE155,TN_CRE21,TN_CRE24,TN_CRE25,TN_CRE29,TN_CRE37,TN_CRE39,TN_CRE3,TN_CRE40,TN_CRE41,TN_CRE42,TN_CRE44,TN_CRE50,TN_CRE51,TN_CRE53,TN_CRE56,TN_CRE58,TN_CRE59,TN_CRE64,TN_CRE66,TN_CRE70,TN_CRE72,TN_CRE74,TN_CRE76,TN_CRE77,TN_CRE79,TN_CRE7,TN_CRE82,TN_CRE85,TN_CRE86,TN_CRE88,TN_CRE89,TN_CRE94,TN_CRE95,TN_CRE99
16,133,20,18575,23,27,17,13,13,18539,18561,20,15,22,18534,18485,63675,22,10,8,21,21,12,19,33,10,17,28,0,18301,51,18376,10,30,26,36,23,12,73515,12,117430,16,18,16,16,18,13,12,15,18404,16,18442,14,58,58,18,15,16,17462,18458,17547,17189,18238,21,12,24,17,11,8,19,19,20,118650,11,9,21,11,9,22,21,10,8,11,126,124,22,22,9,73650,34,18,33,18528,15,18,17,23,10,20,10,14,26,18230,58655,63719,17870,75730,17973,62935,18259,110326,71758,18004,77,62,70555,18328,59014,17825,58,74768,18103,383,18115,18236,18208,74064,17920,63,72569,113812,62145,58409,113790,18044,68,18115,18122,63565,18145,57973,17869,75616,58589,18362,18203,63053,58663,63652,18454,60,75924,58733,71417,58750,71692,58505,76,63680
18302,18406,18304,21,17985,18312,18265,18300,18296,19,16,18267,18300,18306,17,13,65061,18293,18298,18295,18232,18304,18297,17993,18314,18297,18305,18317,18301,0,18281,12,18297,18315,18307,18316,18293,18298,75466,18299,119409,18299,18303,18140,18273,18280,18300,18299,18302,20,18303,12,18301,18284,18287,18305,18302,18301,18032,47,18032,17901,47,18313,18299,18275,18304,18300,18295,18304,18249,18307,121260,18297,18296,18306,18296,18296,18305,18266,18297,18295,18296,18396,18392,18251,18291,18296,75496,18323,18304,18319,15,18299,18295,18302,18304,18296,18305,18296,18300,18315,433,59789,65150,18956,77617,18973,64534,552,112873,73385,429,18304,18294,72336,432,60076,18928,18294,76633,429,17977,424,432,429,75966,428,18296,74291,116714,63718,59549,116369,422,18304,426,427,65049,430,59203,18948,77280,59728,463,429,64557,59790,65182,60,18295,77533,59825,73090,59853,73350,59641,18307,65131
52,171,55,18553,51,56,53,49,49,18517,18540,56,51,58,18512,18464,63664,51,48,44,50,57,48,55,61,46,55,57,51,18281,0,18357,46,60,62,71,52,48,73510,48,117382,51,54,52,52,53,49,48,51,18384,53,18421,50,6,7,54,51,51,17435,18438,17520,17164,18218,63,48,59,53,50,44,56,55,49,118611,47,46,50,47,45,50,49,46,44,48,161,158,49,51,47,73639,64,48,63,18506,50,48,46,52,46,49,46,50,55,18193,58645,63712,17846,75755,17950,62929,18239,110305,71721,17969,53,39,70519,18292,58999,17802,33,74743,18068,365,18078,18202,18171,74004,17883,42,72560,113752,62137,58400,113810,18021,45,18078,18085,63557,18108,57964,17848,75564,58580,18337,18180,63045,58642,63642,18434,38,75900,58720,71379,58721,71652,58495,53,63669
18377,18478,18379,28,18062,18387,18341,18375,18371,28,27,18343,18375,18381,26,19,65083,18369,18373,18368,18304,18376,18372,18056,18389,18372,18380,18389,18376,12,18357,0,18372,18390,18383,18391,18368,18373,75495,18374,119433,18373,18378,18215,18345,18351,18375,18374,18377,28,18378,17,18376,18359,18359,18380,18377,18376,18065,52,18065,17931,48,18387,18374,18347,18379,18373,18370,18379,18323,18382,121302,18372,18371,18381,18371,18371,18377,18341,18372,18370,18371,18465,18461,18327,18367,18371,75522,18396,18379,18394,23,18375,18371,18377,18380,18371,18380,18371,18375,18387,436,59817,65170,18978,77644,19002,64559,551,112898,73419,429,18382,18371,72370,441,60105,18953,18369,76659,432,18054,428,434,431,75988,430,18372,74311,116742,63743,59577,116379,427,18379,431,429,65073,431,59229,18968,77308,59753,472,432,64580,59815,65209,66,18367,77558,59852,73123,59881,73379,59666,18380,65154
10,130,16,18569,18,22,11,7,7,18534,18556,14,9,18,18530,18481,63675,17,6,2,18,15,6,14,28,4,12,23,10,18297,46,18372,0,25,20,30,18,6,73608,6,117427,10,12,10,10,12,7,6,9,18399,10,18437,8,52,52,12,9,10,17456,18454,17540,17183,18234,23,6,18,11,5,2,13,13,14,118644,5,3,16,5,3,17,16,4,2,5,122,120,16,18,1,73649,29,12,28,18523,9,14,12,18,4,15,4,8,21,18226,58655,63719,17878,75758,17982,62935,18255,110390,71758,18000,72,58,70555,18324,59014,17833,52,74780,18099,377,18111,18232,18204,74063,17916,59,72568,113810,62145,58409,113845,18040,65,18111,18118,63569,18141,57973,17877,75624,58589,18358,18199,63053,58663,63652,18450,56,75959,58733,71417,58750,71692,58505,71,63680
31,149,35,18586,31,22,32,28,29,18550,18572,35,30,37,18544,18497,63701,18,27,23,30,36,27,35,41,25,33,10,30,18315,60,18390,25,0,40,51,31,27,73538,27,117461,30,34,29,31,32,28,27,29,18415,31,18454,29,66,66,33,30,30,17473,18469,17556,17200,18251,42,28,38,32,29,23,34,34,28,118663,26,25,29,26,24,30,29,25,23,27,140,137,31,30,25,73678,42,18,41,18539,29,26,25,23,25,28,25,29,35,18242,58689,63755,17879,75795,17982,62973,18271,110351,71769,18017,85,71,70568,18339,59045,17835,67,74784,18117,392,18128,18251,18221,74077,17933,72,72607,113825,62183,58446,113871,18057,79,18128,18135,63607,18158,58010,17878,75637,58619,18373,18216,63091,58697,63690,18464,69,75964,58770,71428,58787,71700,58542,85,63716
26,145,32,18581,33,38,11,23,24,18545,18567,14,25,34,18541,18491,63687,32,22,18,33,31,22,30,43,20,28,38,26,18307,62,18383,20,40,0,46,33,22,73608,22,117444,26,29,26,26,28,23,22,25,18410,26,18448,24,66,68,28,25,26,17470,18465,17544,17196,18245,39,23,14,27,24,18,29,23,29,118654,21,19,31,21,19,32,31,20,18,21,138,136,32,33,19,73659,44,27,43,18535,25,29,27,32,20,30,20,24,37,18235,58666,63731,17887,75762,17992,62947,18267,110402,71770,18010,87,73,70567,18334,59025,17843,67,74792,18109,392,18121,18244,18214,74074,17926,74,72579,113821,62157,58420,113847,18051,81,18121,18128,63581,18151,57984,17888,75635,58600,18370,18209,63065,58674,63664,18461,71,75970,58744,71429,58761,71704,58516,88,63692
36,156,40,18589,45,48,37,33,33,18554,18576,40,35,42,18549,18500,63691,43,32,28,42,41,32,40,52,30,27,49,36,18316,71,18391,30,51,46,0,44,32,73623,32,117434,36,38,36,36,37,33,32,35,18419,36,18457,34,76,78,38,35,34,17475,18473,17559,17202,18253,49,32,44,37,31,28,39,39,40,118652,31,29,42,31,29,41,42,30,28,31,149,146,42,44,29,73661,56,39,54,18543,35,41,38,44,30,41,30,34,45,18245,58670,63735,17896,75773,18000,62951,18274,110400,71768,18020,98,84,70568,18343,59029,17851,78,74798,18118,402,18130,18251,18223,74078,17934,86,72583,113823,62161,58424,113856,18059,91,18130,18137,63585,18160,57988,17895,75639,58604,18377,18218,63069,58678,63668,18469,82,75972,58748,71428,58765,71704,58520,97,63696
24,144,30,18566,25,28,25,21,21,18530,18552,27,23,32,18525,18476,63594,23,20,16,24,28,20,28,34,18,27,29,23,18293,52,18368,18,31,33,44,0,20,73574,20,117275,23,26,23,24,25,21,20,22,18395,24,18434,22,60,62,26,23,23,17460,18449,17545,17187,18229,35,20,31,25,22,16,27,27,15,118484,19,18,22,19,17,23,5,18,16,20,135,131,6,5,18,73580,30,19,28,18519,21,21,18,24,18,21,18,22,28,18222,58573,63637,17880,75679,17984,62854,18248,110238,71654,17996,78,64,70451,18321,58932,17835,59,74712,18096,385,18106,18231,18200,73963,17911,65,72497,113648,62064,58326,113700,18035,70,18106,18114,63488,18137,57891,17881,75524,58507,18354,18195,62972,58581,63571,18445,61,75859,58651,71313,58668,71588,58422,79,63603
12,132,18,18572,19,24,13,9,9,18536,18558,16,11,20,18531,18482,63675,19,8,4,20,17,6,15,29,6,15,25,12,18298,48,18373,6,27,22,32,20,0,73610,8,117405,12,14,12,10,14,9,8,9,18401,10,18439,8,54,55,12,9,10,17458,18455,17542,17185,18235,25,8,20,11,8,4,15,14,16,118636,7,5,18,7,5,18,18,6,4,7,125,122,18,20,5,73651,32,15,30,18525,11,17,14,20,4,17,4,10,22,18212,58654,63719,17878,75760,17983,62936,18256,110388,71758,17987,74,60,70554,18310,59009,17834,54,74781,18085,379,18097,18219,18190,74035,17902,62,72570,113796,62146,58408,113835,18042,67,18097,18104,63567,18127,57972,17879,75595,58588,18356,18198,63053,58650,63650,18451,58,75930,58729,71416,58732,71690,58504,74,63679
73616,73707,73615,75589,72258,73543,73427,73611,73607,75565,75577,73428,73610,73617,75559,75558,18923,73639,73607,73512,73301,73511,73605,72348,73631,73501,73612,73524,73515,75466,73510,75495,73608,73538,73608,73623,73574,73610,0,73610,116643,73601,73613,73034,73612,73441,73611,73610,73612,75558,73613,75531,73611,73514,73515,73612,73609,73609,73133,75580,73166,73037,75455,73519,73600,73423,73610,73610,73606,73615,73346,73641,117957,73607,73606,73640,73608,73606,73617,73445,73606,73606,73608,73688,73648,73369,73534,73606,24322,73648,73537,73640,75557,73595,73616,73629,73544,73605,73638,73606,73611,73632,75426,17427,18938,74274,24205,74288,18807,75465,110630,23266,75327,73500,73509,23050,75460,17474,74252,73532,23361,75323,73122,75385,75407,75424,23885,75295,73475,24368,114136,18719,17389,114512,75296,73535,75379,75359,18881,75410,17337,74235,24152,17421,75424,75409,18837,17417,18806,75564,73484,24199,17417,23163,17444,23268,17389,73529,18875
12,132,18,18573,20,24,13,7,9,18537,18559,16,11,20,18532,18483,63677,19,8,4,20,17,8,16,30,6,15,25,12,18299,48,18374,6,27,22,32,20,8,73610,0,117428,12,14,12,12,14,1,0,11,18402,12,18440,10,54,54,14,11,12,17458,18456,17543,17185,18236,25,6,20,13,9,4,15,15,16,118648,7,3,18,7,5,19,18,6,4,5,125,122,18,20,5,73651,32,15,30,18526,11,17,14,20,6,17,6,10,23,18228,58657,63721,17880,75760,17983,62937,18257,110392,71760,18002,74,60,70557,18326,59016,17835,54,74783,18101,379,18113,18236,18206,74065,17918,62,72570,113811,62147,58411,113847,18042,67,18113,18120,63571,18143,57975,17881,75626,58591,18360,18201,63055,58665,63654,18452,58,75961,58735,71419,58752,71694,58507,75,63682
117435,117529,117434,119514,115604,117451,117199,117430,117427,119486,119509,117199,117431,117436,119493,119480,101116,117401,117425,117415,116812,117362,117405,115118,117445,117429,117430,117395,117430,119409,117382,119433,117427,117461,117444,117434,117275,117405,116643,117428,0,117414,117431,116443,117402,117062,117432,117431,117431,119485,117434,119454,117430,117379,117380,117428,117433,117430,116114,119510,116168,115987,119384,117431,117420,117180,117435,117430,117425,117431,116941,117458,23262,117427,117425,117456,117426,117426,117409,117176,117420,117427,117428,117484,117448,117052,117231,117427,117066,117465,117443,117451,119471,117411,117402,117450,117462,117400,117453,117403,117433,117454,119351,92971,101081,117655,119649,117670,100736,119398,21478,113302,119268,117434,117413,112682,119381,93145,117640,117440,118205,119231,116915,119312,119342,119327,118260,119194,117402,115093,22139,100241,92821,22396,119260,117441,119315,119301,100978,119323,92659,117623,119070,92950,119372,119389,100793,92979,100898,119484,117412,119238,92985,113121,92999,113241,92889,117459,101073
16,136,22,18572,23,27,17,13,11,18536,18558,20,15,24,18531,18482,63666,22,12,8,23,21,12,20,33,10,19,28,16,18299,51,18373,10,30,26,36,23,12,73601,12,117414,0,2,0,16,2,13,12,15,18401,16,18439,14,57,57,18,15,16,17459,18455,17543,17187,18235,29,12,24,17,11,8,19,19,19,118627,11,9,21,5,9,22,21,10,8,11,129,126,21,23,9,73644,35,18,33,18524,15,20,17,23,10,20,10,14,27,18227,58646,63710,17881,75752,17985,62927,18256,110382,71749,18001,77,63,70548,18325,59005,17834,57,74771,18100,383,18112,18233,18206,74055,17918,65,72560,113798,62136,58400,113835,18042,70,18112,18120,63560,18143,57964,17878,75615,58580,18359,18200,63044,58654,63644,18451,61,75950,58724,71409,58741,71684,58496,76,63672
18,138,24,18577,27,30,19,15,13,18541,18563,22,17,27,18536,18487,63680,25,14,10,26,23,14,22,36,12,21,31,18,18303,54,18378,12,34,29,38,26,14,73613,14,117431,2,0,3,18,4,15,14,18,18406,19,18444,16,60,63,20,17,19,17463,18460,17548,17191,18240,31,14,26,19,13,10,22,21,22,118646,13,11,24,7,11,25,24,12,10,13,131,128,24,26,12,73653,38,21,37,18530,17,23,20,26,12,23,12,16,29,18232,58658,63724,17884,75763,17988,62941,18261,110393,71763,18007,80,66,70561,18330,59017,17839,60,74785,18105,385,18117,18238,18211,74069,17923,69,72574,113813,62150,58412,113848,18047,73,18117,18125,63574,18148,57976,17883,75629,58592,18364,18205,63058,58666,63658,18456,65,75964,58736,71422,58753,71697,58508,79,63686
15,133,20,18413,25,27,17,12,12,18377,18399,20,15,22,18373,18324,63240,21,12,8,22,20,12,19,33,10,19,27,16,18140,52,18215,10,29,26,36,23,12,73034,12,116443,0,3,0,16,2,13,12,15,18242,16,18280,14,59,61,18,15,16,17286,18297,17355,17014,18077,29,13,24,17,11,8,19,19,20,117689,11,9,21,5,9,22,21,10,8,11,127,125,23,23,9,73130,35,19,32,18365,15,20,17,23,10,20,10,13,26,18038,58221,63285,17710,75089,17815,62502,18099,109467,71151,17842,75,63,69957,18138,58580,17666,59,74197,17923,380,17942,18044,18021,73489,17755,65,72024,112881,61715,57979,112891,17882,71,17940,17961,63134,17967,57539,17708,74999,58155,18173,18040,62619,58229,63221,18266,61,75308,58299,70809,58316,71089,58071,74,63251
16,136,22,18544,24,28,17,13,13,18509,18531,20,15,24,18503,18454,63667,23,12,8,23,21,10,20,34,10,19,29,16,18273,52,18345,10,31,26,36,24,10,73612,12,117402,16,18,16,0,18,13,12,11,18405,12,18414,2,58,60,1,3,4,17462,18459,17547,17189,18239,29,12,24,13,13,8,19,19,20,118644,11,9,22,11,9,23,22,10,8,11,128,126,22,24,9,73655,35,18,34,18499,15,20,18,24,8,21,8,14,27,18216,58637,63704,17882,75765,17987,62941,18254,110373,71764,17991,78,64,70554,18314,58993,17833,58,74697,18089,383,18101,18224,18194,74023,17906,65,72570,113635,62138,58391,113851,18046,71,18101,18108,63560,18131,57958,17877,75585,58570,18342,18205,63046,58632,63657,18455,62,75920,58713,71415,58715,71689,58488,79,63670
18,138,24,18547,25,29,19,15,13,18517,18536,21,17,26,18509,18460,63468,24,14,10,25,23,14,22,35,12,21,30,18,18280,53,18351,12,32,28,37,25,14,73441,14,117062,2,4,2,18,0,15,14,17,18379,18,18418,16,59,60,20,17,18,17446,18438,17532,17175,18214,31,14,26,19,13,10,21,21,21,118273,13,11,23,7,11,24,23,12,10,13,129,127,23,25,11,73450,37,20,34,18502,17,22,19,25,12,22,12,16,29,18205,58449,63511,17867,75558,17967,62727,18231,110058,71549,17979,79,65,70347,18308,58808,17818,59,74603,18078,384,18090,18211,18184,73863,17896,67,72365,113488,61936,58203,113504,18020,72,18090,18098,63359,18121,57767,17864,75423,58383,18339,18178,62844,58457,63446,18430,63,75758,58527,71210,58544,71489,58299,78,63472
13,133,19,18574,23,25,14,8,10,18538,18560,17,12,21,18533,18484,63677,20,9,5,21,18,9,17,31,7,16,26,13,18300,49,18375,7,28,23,33,21,9,73611,1,117432,13,15,13,13,15,0,1,12,18403,13,18441,11,56,58,15,12,13,17459,18457,17544,17186,18237,26,7,21,14,8,5,16,16,17,118648,8,4,19,8,6,20,19,7,5,6,125,123,19,21,6,73652,32,15,31,18527,12,17,15,21,7,18,7,11,24,18229,58657,63721,17881,75761,17985,62937,18258,110393,71760,18003,75,61,70558,18327,59016,17836,55,74783,18102,380,18114,18235,18207,74066,17919,62,72571,113812,62147,58411,113848,18043,68,18114,18121,63571,18144,57975,17880,75627,58591,18360,18202,63055,58665,63654,18453,59,75962,58735,71420,58752,71695,58507,74,63682
12,132,18,18573,21,24,13,7,9,18537,18559,16,11,20,18532,18483,63677,19,8,4,20,17,8,16,30,6,15,25,12,18299,48,18374,6,27,22,32,20,8,73610,0,117431,12,14,12,12,14,1,0,11,18402,12,18440,10,54,56,14,11,12,17458,18456,17543,17185,18236,25,6,20,13,7,4,15,15,16,118649,7,3,18,7,5,19,18,6,4,5,124,122,18,20,5,73651,31,14,30,18526,11,16,14,20,6,17,6,10,23,18228,58657,63721,17880,75760,17984,62937,18257,110392,71760,18002,74,60,70557,18326,59016,17835,54,74783,18101,379,18113,18234,18206,74065,17918,61,72570,113811,62147,58411,113847,18042,67,18113,18120,63571,18143,57975,17879,75626,58591,18360,18201,63055,58665,63654,18452,58,75961,58735,71419,58752,71694,58507,73,63682
15,135,21,18574,22,27,16,12,13,18539,18562,19,14,23,18536,18485,63677,21,11,7,22,20,9,19,32,9,17,27,15,18302,51,18377,9,29,25,35,22,9,73612,11,117431,15,18,15,11,17,12,11,0,18405,11,18443,9,56,58,13,10,11,17460,18458,17546,17188,18239,28,12,23,12,11,7,18,18,18,118643,10,8,20,10,8,21,20,9,7,10,128,125,21,22,8,73653,34,17,32,18528,14,19,16,22,7,19,7,13,26,18231,58657,63721,17883,75761,17988,62937,18260,110391,71760,18005,76,62,70557,18329,59016,17839,57,74781,18104,382,18116,18237,18209,74065,17921,64,72569,113810,62147,58411,113846,18045,70,18116,18123,63571,18146,57975,17882,75626,58591,18362,18204,63055,58665,63655,18455,60,75961,58734,71419,58752,71694,58507,75,63678
18405,18506,18406,18,18087,18410,18368,18403,18399,15,14,18370,18403,18409,15,11,65111,18408,18401,18394,18328,18404,18400,18087,18411,18400,18408,18416,18404,20,18384,28,18399,18415,18410,18419,18395,18401,75558,18402,119485,18401,18406,18242,18405,18379,18403,18402,18405,0,18406,12,18404,18386,18386,18407,18405,18404,18115,44,18113,17978,46,18410,18399,18368,18407,18401,18398,18407,18349,18409,121365,18400,18399,18408,18399,18399,18386,18361,18400,18398,18399,18494,18482,18353,18383,18399,75575,18419,18406,18416,17,18393,18394,18404,18406,18399,18407,18399,18403,18414,438,59839,65200,19018,77688,19043,64581,550,112937,73460,438,18394,18389,72408,441,60123,18988,18396,76696,442,18123,434,445,440,76020,437,18377,74359,116766,63770,59599,116348,435,18399,436,435,65097,435,59242,19001,77349,59773,473,435,64609,59841,65227,64,18378,77605,59871,73161,59903,73424,59688,18407,65179
16,136,22,18577,23,29,17,13,14,18541,18563,20,15,24,18537,18487,63681,23,12,8,24,21,10,20,34,10,19,29,16,18303,53,18378,10,31,26,36,24,10,73613,12,117434,16,19,16,12,18,13,12,11,18406,0,18444,10,58,58,14,11,12,17462,18460,17548,17189,18240,29,13,24,1,12,8,19,19,20,118654,11,9,22,11,9,23,22,10,8,11,128,126,23,24,9,73654,35,18,34,18530,15,20,18,24,8,21,8,14,27,18232,58660,63725,17884,75764,17989,62941,18261,110395,71764,18006,78,64,70561,18330,59019,17840,59,74786,18105,383,18117,18238,18210,74069,17922,65,72574,113815,62151,58414,113848,18046,72,18117,18124,63575,18147,57978,17883,75631,58594,18364,18205,63059,58668,63658,18456,62,75966,58738,71423,58755,71698,58510,77,63685
18443,18544,18444,19,18126,18449,18408,18441,18437,14,11,18410,18441,18447,12,7,65107,18434,18439,18432,18367,18441,18438,18122,18449,18438,18446,18455,18442,12,18421,17,18437,18454,18448,18457,18434,18439,75531,18440,119454,18439,18444,18280,18414,18418,18441,18440,18443,12,18444,0,18442,18425,18425,18445,18443,18442,18106,41,18102,17968,41,18448,18436,18409,18445,18441,18436,18444,18387,18448,121333,18438,18437,18447,18437,18437,18425,18400,18437,18436,18437,18536,18524,18392,18423,18437,75545,18458,18445,18455,12,18431,18433,18443,18445,18437,18446,18437,18441,18452,435,59832,65196,19020,77665,19047,64575,545,112905,73446,432,18435,18428,72396,436,60116,18994,18435,76679,440,18113,430,442,429,75998,431,18418,74343,116729,63760,59593,116393,429,18438,430,430,65091,429,59245,19008,77322,59768,474,428,64606,59836,65223,59,18420,77578,59864,73148,59897,73411,59681,18448,65172
14,134,20,18575,21,26,15,11,11,18539,18561,18,13,22,18534,18485,63679,21,10,6,21,19,8,18,32,8,17,27,14,18301,50,18376,8,29,24,34,22,8,73611,10,117430,14,16,14,2,16,11,10,9,18404,10,18442,0,56,56,3,1,2,17460,18458,17545,17187,18238,27,10,22,11,11,6,17,17,18,118645,9,7,20,9,7,21,20,8,6,9,127,124,20,22,7,73652,34,17,32,18528,13,19,16,22,6,19,6,12,25,18230,58659,63723,17882,75762,17986,62938,18259,110392,71762,18004,76,62,70559,18328,59018,17837,56,74785,18103,381,18115,18238,18208,74067,17920,64,72571,113813,62149,58413,113848,18044,69,18115,18122,63573,18145,57977,17883,75628,58593,18362,18203,63057,58667,63656,18454,60,75963,58736,71421,58754,71696,58509,77,63683
58,176,60,18556,57,63,58,55,55,18521,18543,61,57,62,18516,18467,63671,58,54,50,57,63,54,62,68,52,61,65,58,18284,6,18359,52,66,66,76,60,54,73514,54,117379,57,60,59,58,59,56,54,56,18386,58,18425,56,0,0,60,58,55,17442,18440,17507,17171,18221,70,54,65,59,55,50,61,60,57,118611,53,52,56,53,51,56,56,52,50,54,168,166,57,58,52,73644,71,56,70,18513,56,55,53,59,53,56,53,56,61,18197,58652,63718,17847,75725,17950,62936,18245,110301,71728,17972,60,45,70525,18296,59006,17802,41,74732,18072,373,18082,18205,18175,74007,17887,47,72566,113756,62145,58407,113769,18027,52,18082,18089,63563,18113,57971,17847,75556,58587,18343,18178,63053,58649,63650,18438,43,75866,58727,71385,58730,71659,58502,59,63679
60,178,61,18556,57,64,59,55,56,18524,18543,62,59,62,18517,18467,63672,58,56,50,59,65,56,64,70,54,61,67,58,18287,7,18359,52,66,68,78,62,55,73515,54,117380,57,63,61,60,60,58,56,58,18386,58,18425,56,0,0,60,60,57,17442,18444,17508,17171,18221,71,57,67,61,57,50,62,62,59,118617,53,53,57,53,52,57,56,52,52,55,170,168,60,58,54,73646,71,58,72,18514,57,55,53,61,55,58,55,58,63,18197,58652,63719,17851,75727,17952,62936,18245,110303,71728,17972,60,45,70526,18299,59008,17804,44,74737,18072,375,18082,18206,18175,74009,17887,49,72566,113757,62145,58407,113769,18027,55,18082,18089,63563,18113,57971,17851,75559,58587,18343,18178,63053,58649,63649,18438,45,75868,58727,71386,58730,71663,58502,60,63679
18,138,24,18578,25,30,19,15,15,18542,18564,22,17,26,18537,18488,63682,25,14,10,25,23,12,22,36,12,20,31,18,18305,54,18380,12,33,28,38,26,12,73612,14,117428,18,20,18,1,20,15,14,13,18407,14,18445,3,60,60,0,4,5,17463,18462,17547,17190,18242,31,14,26,15,13,10,21,21,22,118644,13,11,24,13,11,25,24,12,10,13,130,128,24,26,11,73654,37,20,36,18531,17,22,20,26,10,23,10,16,29,18234,58663,63726,17885,75766,17989,62941,18263,110394,71764,18008,80,66,70561,18331,59022,17841,60,74787,18107,385,18119,18240,18212,74070,17924,67,72574,113817,62152,58417,113850,18048,73,18119,18126,63576,18149,57981,17885,75631,58597,18366,18207,63060,58671,63659,18458,64,75966,58740,71424,58758,71699,58513,79,63683
15,135,21,18575,24,27,16,12,12,18540,18562,19,14,23,18534,18486,63680,22,11,7,22,20,9,19,33,9,17,28,15,18302,51,18377,9,30,25,35,23,9,73609,11,117433,15,17,15,3,17,12,11,10,18405,11,18443,1,58,60,4,0,3,17461,18459,17545,17188,18239,28,11,23,12,12,7,18,18,19,118651,10,8,21,10,8,22,21,9,7,10,127,125,21,23,8,73648,34,17,33,18529,14,19,17,23,7,20,7,13,26,18231,58660,63724,17882,75763,17986,62939,18260,110393,71763,18005,77,63,70560,18328,59019,17837,57,74786,18104,382,18116,18239,18209,74068,17921,64,72572,113814,62150,58414,113849,18045,70,18116,18123,63574,18146,57978,17883,75629,58594,18362,18204,63058,58668,63657,18454,61,75963,58737,71422,58755,71697,58510,78,63684
16,136,20,18574,22,28,17,13,14,18539,18561,20,15,22,18535,18485,63679,22,12,8,22,21,10,20,31,10,18,28,16,18301,51,18376,10,30,26,34,23,10,73609,12,117430,16,19,16,4,18,13,12,11,18404,12,18442,2,55,57,5,3,0,17460,18458,17546,17187,18238,29,13,24,13,12,8,19,19,19,118645,11,9,21,11,9,20,21,10,8,11,128,126,22,23,9,73652,34,17,33,18528,15,19,17,23,8,20,8,14,25,18230,58659,63723,17882,75763,17987,62938,18259,110392,71762,18004,77,63,70559,18328,59018,17838,58,74784,18103,383,18115,18236,18208,74067,17920,64,72569,113812,62149,58413,113848,18044,71,18115,18122,63573,18145,57977,17881,75629,58593,18362,18203,63057,58667,63656,18454,61,75961,58736,71421,58754,71696,58509,76,63680
17460,17565,17462,18153,17165,17467,17421,17459,17458,18128,18148,17422,17457,17464,18140,18114,63378,17453,17456,17453,17382,17460,17456,17065,17472,17456,17463,17469,17462,18032,17435,18065,17456,17473,17470,17475,17460,17458,73133,17458,116114,17459,17463,17286,17462,17446,17459,17458,17460,18115,17462,18106,17460,17442,17442,17463,17461,17460,0,18130,6,10,18016,17473,17457,17426,17462,17459,17454,17464,17374,17463,117847,17454,17454,17463,17457,17455,17458,17431,17455,17454,17457,17548,17543,17424,17457,17454,73238,17477,17460,17475,18134,17457,17454,17460,17464,17454,17462,17454,17458,17469,17989,58205,63433,17963,75069,18004,62778,18027,109595,71167,17870,17461,17450,70115,18027,58481,17941,17452,73996,17907,17196,17921,17982,17967,73563,17835,17444,72045,112374,62086,57969,113031,17897,17466,17931,17936,63292,17941,57590,17942,74904,58150,18048,17984,62870,58199,63324,18114,17445,75186,58262,70876,58268,71129,58089,17465,63372
